0,@keithhernandez This is From a 1987 Fleer Baseball Card ! You think you both would be able to Beat The Shift ?? Amazing Hitters ! @SNYtv @MetsBooth #LGM #NYMets #PureHitters #Mets
1,Costco is a dangerous place
2,Took the words right out of my mouth!!!
3,jared fuckin guarantano
4,"So apparently Romeos are only a PNW shoe... I attempted to explain them to a guy from Philadelphia, NY, and North Carolina and they all laughed at me when I showed them a picture. 😅 #PNW"
5,Me and manman can talk about any and every thing 😂😭🤦🏾‍♀️
6,all about the benjamins got one of the greatest beats ever made
7,I’ll give you the remaining love I have today. You need it. Get rid of this hate.
8,"Well aside from our special teams, secondary, and entire offense...I’d say it’s going pretty well. #PennState "
9,That was so stupid why would you do that?🤦🏻‍♀️
10,@Patrici15767099 Pathetic!
11,Same for @kommer33!! Well deserved after an amazing few months in Reading!! 
12,"@TheMorningSpew It seems a bit overdone. Especially considering to a lot of those heaping praise, he was the Devil Incarnate in 2008."
13,@AnthonyHopkins grateful
14,JG look pretty good
15,Biggggggg football fans 😜 @ Beaver Stadium 
16,@settleprecious @betweenjoy 2016! I have a lot of multiple choice test anxiety so I’ve been putting it off 😬
17,"First time getting heart burn 😳 what the hell kid, all I eat is spicy food. 😒"
18,My goat would never 😂
19,This #ScotchEgg is looking at me. @ Liberty Commons 
20,"Waiting for the “Wake me up when September ends,” tweets so I can retweet the hell out of them."
21,"816 Harding Park, the Bronx "
22,Obama should know he &amp; Clinton are the 2 biggest liars...
23,@BuckSexton Stopping Peds is an emergency.
24,"If you're near Dublin, California join us on September 13 for a sneak preview of Panos Cosmatos’ new movie Mandy. "
25,Mom &amp; daughter #paintsquad #imtired @ Queen's University 
26,@Ghost_Wave No kidding wow
27,Can we trade for Earl Thomas w/ the money now
28,@_fa6amii_91 They ... gave THREE KIDS drugs
29,"Sunrise, sunburn, sunset, repeat 🤟🏽"
30,Either way I won $490 in tips baby
31,@Renee_Cantuu @amanda_wygrys @VictoriaValerio @leann_nicole3 Soon 💘
32,grow by algee smith is playing JADJSJSB im emo
33,@MacMcKinseyIV How does he even walk??
34,Who Dat Brands 
35,@Boykinheplay @kayelizah @themovieswelove @AndrewGillum Never forget 2008 Economic Meltdown.
36,He is useless
37,I guess my film minor will actually pay off
38,Not sure whether our (UNC) defense is playing that good or if Cal’s offense is that bad??  I know our offense has been that bad so far.
39,I hate having one of those wtf happened last night kind of nights.. I hate drinking 🙃
40,@searls I don’t know... but I hope it’s soon.
41,@enews SMFH Things you think but shouldn’t say. Out loud. On national TV.
42,it’s hard yo
43,The University of Iowa 
44,I’m so hungry.
45,“We’re just friends right” LOL 😂🙃🙃
46,@PhilipRucker IS IT TOO LATE FOR THE TRUMP TO LEARN HOW TO BE DECENT???
47,#LiveStreamMusic SaraGraceS Ukulele Beginners Covers And Originals  
48,my mom really said “it’s kacie’s world i’m just livin in it” man i love her
49,It says a lot that he hasn’t resigned yet.
50,I do not like the way #WVU defense is looking right now. Do love the push we are getting on the defensive line though. I’d like to see more blitzing on third down.
51,I’m the black sheep of the family but I stopped giving a fuck about what ANYONE thinks a LONG time ago 😅 and I’ve been happier since then
52,"@CEOIII @Bionicscode @ZachStafford He can be sober and still be homophobic. Do you also believe Ambien makes you racist? (Note: I’m a fan of Eminem’s music, but I too thought he’d learned something abt homophobia the last time,but don’t think it has anything to do w/any substance. I’m disappointed but not shocked)"
53,Where is Dobbins?
54,nose rings&gt;&gt;&gt;
55,No leg warmers? I feel attacked.
56,We still dem boyz dont worry bout nun
57,Drinking a Madeline (3rd Birthday) by @SchrammsMead @ Schramm's Mead — 
58,get woke
59,@KriseldaM14 happy birthday girl!! 💓
60,@alyssajaneiro13 Hope so boo
61,@GinaKaus @ChandlerMassey @mcAvoyxx @freddiemsmith Welcome think there going keep sneek around
62,Always remember your reality is some else’s dream. Blessed to be able to do what I love! Let’s get it! #BeatUNT #PonyUpDallas 🔴🔵
63,How does gerso not finish that....... You have to finish that......
64,London Calling....
65,13th show tonight lets go #repTourMinneapolis @taylornation13 
66,"figured out the two tattoos i want, super excited now 🙈"
67,you know there could just be one bad apple or two but they all can’t be bad cus bitch we still eat them
68,@DanTheADDGamer Happy Birthday Dan!!!
69,Trisha Yearwood hawking H*llman's mayonnaise is the single greatest betrayal of Southern values by a country musician in history
70,Movie time! @ Studio Movie Grill Lincoln Square 
71,Noon games are tough
72,"After settlement fines by Deutsche Bank in connection with Russian money laundering, the fired CEO of Deutsche Bank was hired by Wilbur Ross, Trump’s now Secretary of Commerce, to be CEO of the Bank of Cyprus. #BlueWave2018"
73,Fuck.. im just trying to see the team succeed. So if i means cutting people whatever just win a damn ring already
74,"@skylarmmedrano I looked it up and you’re right, ridiculous!"
75,Hello I like  to know why in Wellington county or in Erin Ontario the resident’s have to pay $2.00 for each garbage bag?
76,"An old act, beating the innocent dog to teach the star monkey a lesson.There is more play acting on the way."
77,@freedom_moates Trump is a great President!
78,"I have two things in my hand, every line has at least 15 people waiting, and there are only 5 lanes open for check out. What’s wrong with this picture. #boycottingwalmart"
79,@essence_imani Senjo.Mcfly
80,Yeah the backup linebackers we have look a bit confused
81,His -1.23 RelTM xGF% is closest to...Brent Burns -1.21
82,"@waterfield7LA They must know something we don’t know. ;) Still, taking over 7 mil off his salary is a win in my opinion. Bumps Lakers cap from 25 up to 35-36 next season. That’s excellent."
83,This cyst haves to go!!!! I was scared to have surgery done but fuck it!!!
84,Facts.. Capricorn Baby
85,its game day 😈
86,"Hope this is fact ...

I choose to have faith in the nuts-n-bolts of the FBI ... too many good people ... they will be there when needed

#UnitedWeStand"
87,"I lost 5$ of free money at the slots. And I got chicken strips.
Also I forgot you can smoke in casinos. Indoor smoking always blows my mind. 
#strayweddingguest"
88,Issa Sweep Sweep @hidalgodylan4
89,@Shayla_Ng @SarahTheWise1 @BTS_twt @TAMUCBands @BigHitEnt @bts_bighit You cant Lie Mic Drop Slap lol
90,@TheRichieWilson two steaming piles of excrement.
91,"Cal, we love 3 and outs.  Heels, hold my beer."
92,"Just posted a photo @ Long Beach Island, NJ "
93,@FoxNews Are you kidding?!? WTF?!? Does everybody even remember who the man was in real REALITY life???? CRAZY!!!! 
94,@racmar10 Which teams?
95,"troye sivan, give me strength"
96,MTV really needs to not with that stupid #PrettyLittleMamas show..🙄 why are you distracting young moms from parenting by making them think they’re actually interesting? 😑
97,"#TheSwamp gathered in DC today, lamenting the nasty politics today - aka @realDonaldTrump while they threw insults. Look at that group in the Cathedral. They are all the same. Most are part of the elite group @SenJohnMcCain was part of that has hurt America greatly #McCainFuneral"
98,How can you be looking for a DJ a day before your wedding 🤦🏾‍♂️
99,@jpyyc @tedcruz What you’re seeing in that article was only one of the nicer things Trump said about Ted Cruz🤷‍♀️ It was in Feb. 2016 before Trump won in Nov.  It was mutual then; they since have made up and forgiven each other so forget the past and move on❣️🙏🇺🇸
100,"@FrancisMcA No need to resort to snide remarks, Francis! The fact is time zone differences might be inconvenient but they don’t cause havoc as the article stated."
101,"[50 years from now]

my grandkid: Hey grandpa! we goin to the Washington State Fair!

me: THE WHAT!?

gk: The State Fair..

me: iunno what u sayin, where u goin

gk: puyallup

me: which fair?

gk: *sighs* &amp; *under breath* 
the puyallup fair

me: *hands em a 50*
have fun kids"
102,So Tonight. Let The “All In” Extravaganza Begin. 
103,FIRST AND GOAL LETS GO BABY
